establecimiento_nro_registro;establecimiento_denominacion;direccion;establecimiento_tipo;fabricante_tipo_codigo;fabricante_tipo_desc
EO00021;Mª Elena Guerrero Lecuona;Calle Alcalá, Nº 576  28022, Madrid (Madrid);Ortopedias;;
EO00022;Ortovel - E. Vela;Calle De Aguileñas, Nº 2  28029, Madrid (Madrid);Ortopedias;;
EO00023;Reimedical S.L.;Avenida De Pablo Neruda, Nº 13  28038, Madrid (Madrid);Ortopedias;;
EO00024;Smo Suministros Medicos Ortopédicos S.L.;Avenida Humilladero, Nº 17  28110, Algete (Madrid);Ortopedias;;
EO00025;Tecniorto S.L.;Calle Puentedeume, Nº 10  28029, Madrid (Madrid);Ortopedias;;
EO00026;Yglesias Hermanos, C.B.;Calle De Guabairo, Nº 2  28047, Madrid (Madrid);Ortopedias;;
EO00028;Farmacia Princesa;Calle Princesa, Nº 62  28008, Madrid (Madrid);Ortopedias;;
EO00029;Pilar Barambio Martínez;Calle Modesto Lafuente, Nº 1  28010, Madrid (Madrid);Ortopedias;;
EO00030;Pedro Gómez De Agüero Y Aguilera;Calle Santa Engracia, Nº 163  28003, Madrid (Madrid);Ortopedias;;
EO00031;Farmacia Navarro Bonilla;Sector Pueblos, Nº 36  28760, Tres Cantos (Madrid);Ortopedias;;
EO00032;Establecimientos Ortopédicos Prim, S.A.;Calle De Martínez Izquierdo, Nº 6  28028, Madrid (Madrid);Ortopedias;;
EO00033;Lozano Ortopedia 2100, S.L.;Avenida Del Mediterráneo, Nº 35  28007, Madrid (Madrid);Ortopedias;;
EO00034;Novofarma 2000, S.L.U.;Calle Abastos, Nº 130  28300, Aranjuez (Madrid);Ortopedias;;
EO00035;Farmacia Montera;Calle Montera, Nº 9  28013, Madrid (Madrid);Ortopedias;;
EO00037;Soledad Anchelo Gómez;Calle Ánimas, Nº 9, Piso/Puerta 1º  28801, Alcalá De Henares (Madrid);Ortopedias;;
EO00038;Ortopedia Ricardo Hernández González;Paseo Marqués De Zafra, Nº 41  28028, Madrid (Madrid);Ortopedias;;
EO00039;Ortopedia Móstoles;Avenida De La Constitución, Nº 74  28931, Móstoles (Madrid);Ortopedias;;
EO00040;Ortopedia Extremadura;Paseo De Extremadura, Nº 168  28011, Madrid (Madrid);Ortopedias;;
EO00041;Ortopedia Podor;Calle Francos Rodriguez, Nº 60  28039, Madrid (Madrid);Ortopedias;;
EO00044;Santiago C.Gómez López;Calle Gonzalo De Berceo, Nº 55  28017, Madrid (Madrid);Ortopedias;;
EO00046;Ortopedia Legazpi (Faqua, S.L.);Paseo De Las Delicias, Nº 128  28045, Madrid (Madrid);Ortopedias;;
EO00047;Aurelio Morales Manrique;Calle Carretas, Nº 25  28012, Madrid (Madrid);Ortopedias;;
EO00048;Aurelio Morales Manrique;Calle Amor De Dios, Nº 13  28014, Madrid (Madrid);Ortopedias;;
EO00049;Zafan Ibérica S.L.;Avenida De Monforte De Lemos, Nº S/N  28029, Madrid (Madrid);Ortopedias;;
EO00050;Zafan Ibérica S.L.;Calle Goya, Nº 76  28009, Madrid (Madrid);Ortopedias;;
EO00051;Zafan Ibérica S.L.;Calle Gran Vía, Nº 45  28013, Madrid (Madrid);Ortopedias;;
EO00052;Zafan Ibérica S.L.;Calle Rodríguez San Pedro, Nº 5  28015, Madrid (Madrid);Ortopedias;;
EO00053;Zafan Ibérica S.L.;Calle Arenal, Nº 9  28013, Madrid (Madrid);Ortopedias;;
EO00054;Zafan Ibérica S.L.;Calle De Raimundo Fernández Villaverde, Nº 79  28003, Madrid (Madrid);Ortopedias;;
EO00055;Cociña Garabito Cb;Calle Turín, Nº 1  28850, Torrejón De Ardoz (Madrid);Ortopedias;;
EO00057;Centro Ortopédico García Lorca, S.L.;Calle Aloe, Nº 14, Piso/Puerta Local 20  28522, Rivas-Vaciamadrid (Madrid);Ortopedias;;
EO00058;Herederos De Benito Galeán, C.B.;Calle Carretas, Nº 31  28012, Madrid (Madrid);Ortopedias;;
EO00059;Oficina De F. Isabel Dolores Gómez Puche;Avenida De España, Nº 18  28100, Alcobendas (Madrid);Ortopedias;;
EO00060;Oficina De F. Mª Cristina García Guijarro;Calle Illescas , Nº 203  28047, Madrid (Madrid);Ortopedias;;
EO00061;Guadalupe Ayala Muñoz ;Calle Real, Nº 34, Piso/Puerta bis  28231, Rozas De Madrid, Las (Madrid);Ortopedias;;
EO00062;Of. Joaquín Ramos Martínez;Calle Marqués De Santillana , Nº 21  28440, Guadarrama (Madrid);Ortopedias;;
EO00063;Ortopedia Meryla;Calle San Sebastián , Nº 48  28770, Colmenar Viejo (Madrid);Ortopedias;;
EO00064;Farmacia Saúl Medina Izquierdo;Avenida Juan Carlos I, Nº 15  28229, Villanueva Del Pardillo (Madrid);Ortopedias;;
EO00065;Laura García Jiménez;Calle Juán Bravo, Nº 53  28006, Madrid (Madrid);Ortopedias;;
EO00066;C.P. Octopus;Calle Alcalá, Nº 401  28027, Madrid (Madrid);Ortopedias;;
EO00067;Ortopedia Y Podología, S.L.;Calle Quintana, Nº 9  28008, Madrid (Madrid);Ortopedias;;
EO00068;Ortopedia Y Podología, S.L.;Calle Martín De Los Heros, Nº 57, Piso/Puerta 1º  28008, Madrid (Madrid);Ortopedias;;
EO00069;Laura García Jiménez;Calle De O'Donnell, Nº 47  28009, Madrid (Madrid);Ortopedias;;
EO00070;O.F.Federico Plaza Caldeiro;Calle Cañada, Nº 1  28030, Madrid (Madrid);Ortopedias;;
EO00071;Ortopedia Piñol, C.B.;Calle De La Magdalena, Nº 33  28012, Madrid (Madrid);Ortopedias;;
EO00073;Of. Pilar García Sanz;Calle Bravo Murillo, Nº 306  28020, Madrid (Madrid);Ortopedias;;
EO00074;Of. Mª Teresa Velez García-Nieto;Paseo De La Castellana, Nº 148  28046, Madrid (Madrid);Ortopedias;;
EO00075;Of. José Riera Estrada;Calle Chapistería, Nº 1  28037, Madrid (Madrid);Ortopedias;;
EO00076;Of. Mª Jesús Riera Rico;Calle Comandante Zorita, Nº 48  28020, Madrid (Madrid);Ortopedias;;
EO00078;Of Soledad Martínez Honduvilla;Calle Camarena, Nº 195  28047, Madrid (Madrid);Ortopedias;;
EO00079;Farmacia Ortopedia Ana Matheo Iglesias;Avenida Fuenlabrada, Nº 105  28911, Leganés (Madrid);Ortopedias;;
EO00080;Farmacia Olegario Díez Navas;Avenida San Luís, Nº 82  28033, Madrid (Madrid);Ortopedias;;
EO00082;Farmacia Peña;Calle Gran Vía, Nº 12  28013, Madrid (Madrid);Ortopedias;;
EO00083;Farmacia Jorge Mario Anton Otero;Calle Bravo Murillo, Nº 108  28020, Madrid (Madrid);Ortopedias;;
EO00084;Farmacia A. Zapata;Calle Fuentespina, Nº 14, Piso/Puerta local 9  28031, Madrid (Madrid);Ortopedias;;
EO00086;M. Herrada Romero;Calle Jacinto González, Nº 39  28600, Navalcarnero (Madrid);Ortopedias;;
EO00087;Farmacia Ana Cristina Celdran Carmona (Farmacia Atenas);Calle Oslo, Nº 1  28922, Alcorcón (Madrid);Ortopedias;;
EO00088;Ortocentro Colon, S.L.;Plaza Cristóbal Colón, Nº 8  28220, Majadahonda (Madrid);Ortopedias;;
EO00089;Farmacia Remedios Romero Fernández;Calle Antonia Herranz, Nº 2  28860, Paracuellos De Jarama (Madrid);Ortopedias;;
EO00090;Carmen Agudelo Vázquez;Calle Mirabel, Nº 45  28044, Madrid (Madrid);Ortopedias;;
EO00092;Farmacia Cándido Corrales Sendino;Calle Imagen, Nº 19  28018, Madrid (Madrid);Ortopedias;;
EO00094;Mª Luisa López Cañibano;Calle Esperanza Macarena, Nº 30  28021, Madrid (Madrid);Ortopedias;;
EO00096;Farmacia Esperanza Pascual Sánchez-Gijón;Calle Rodríguez San Pedro, Nº 35  28015, Madrid (Madrid);Ortopedias;;
EO00097;Mercedes Ruiz Martínez;Calle Andrés Mellado, Nº 1  28015, Madrid (Madrid);Ortopedias;;
EO00098;Mª Jesús Barba Ocabo;Calle De La Virgen Del Sagrario, Nº 3  28027, Madrid (Madrid);Ortopedias;;
EO00099;José Luis Casarrubio Serrano;Paseo Delicias, Nº 106  28045, Madrid (Madrid);Ortopedias;;
EO00100;Blanca Reina Chacón;Calle De Nuestra Señora De Valverde, Nº 14  28034, Madrid (Madrid);Ortopedias;;
EO00101;Farmacia Licenciada Dª María Jesús Coto Gómez;Plaza Del Torero José Tomás, Nº 13  28260, Galapagar (Madrid);Ortopedias;;
EO00102;Marino Aragón García;Avenida De Palomeras, Nº 121  28018, Madrid (Madrid);Ortopedias;;
EO00103;Farmacia Mª Teresa Manresa Logroño;Calle Gran Avenida, Nº 29  28041, Madrid (Madrid);Ortopedias;;
EO00104;Mª Dolores García Mirat;Calle Cerrajeros, Nº 2-4  28801, Alcalá De Henares (Madrid);Ortopedias;;
EO00105;Farmacia Ana Puertas Hernando;Calle De Martínez De La Riva, Nº 75  28053, Madrid (Madrid);Ortopedias;;
EO00106;Teofilo Valentín Pérez Santos;Calle San Valero, Nº 1  28038, Madrid (Madrid);Ortopedias;;
EO00107;Farmacia San Andrés Pedro López Ledesma;Calle De Alberto Palacios, Nº 20  28021, Madrid (Madrid);Ortopedias;;
EO00108;Organización De Servicios Ortopédicos Totales, S.L.;Avenida De La Reina Victoria, Nº 46  28003, Madrid (Madrid);Ortopedias;;
EO00109;Farmacia Marta Martínez Corces;Calle Doctor Castelo , Nº 45  28009, Madrid (Madrid);Ortopedias;;
EO00110;Ortopedia Barbero;Paseo De Extremadura, Nº 170  28011, Madrid (Madrid);Ortopedias;;
EO00111;Miguel Ángel Ninahualpa Navio;Calle Libreros, Nº 50  28801, Alcalá De Henares (Madrid);Ortopedias;;
EO00112;Zafan Ibérica S.L.;Calle Esparteros, Nº 4  28012, Madrid (Madrid);Ortopedias;;
EO00113;Farmacia-Ortopedia Mª Del Carmen Martín Moreno;Calle Valencia, Nº 6  28945, Fuenlabrada (Madrid);Ortopedias;;
EO00114;Mohamed Abdo Awad;Calle Vital Aza, Nº 59  28017, Madrid (Madrid);Ortopedias;;
EO00116;Farmacia Jesus Isasia Ballestero ;Sector Foresta, Nº 41, Piso/Puerta (local 4-1)  28760, Tres Cantos (Madrid);Ortopedias;;
EO00118;Adelber S.L.;Calle Uruguay, Nº 12, Piso/Puerta Centro Comercia  28822, Coslada (Madrid);Ortopedias;;
EO00119;Adelber S.L.;Calle Méjico, Nº 2, Piso/Puerta 4º  28822, Coslada (Madrid);Ortopedias;;
EO00120;Ademer Salud;Bulevar De Indalecio Prieto, Nº 24, Piso/Puerta local 2  28032, Madrid (Madrid);Ortopedias;;
EO00121;Blanca Esther Alvarez Corral;Calle Sevilla, Nº 3, Piso/Puerta local 3  28223, Pozuelo De Alarcón (Madrid);Ortopedias;;
EO00122;Mª Carmen Beltrán Romano;Paseo Reina Cristina, Nº 36  28014, Madrid (Madrid);Ortopedias;;
EO00123;Calzados Ortopédicos Asensio;Calle San Bernardo, Nº 75  28015, Madrid (Madrid);Ortopedias;;
EO00124;Centro De Ortopedia Orto-Center S.L.;Calle Blasco De Garay, Nº 13  28015, Madrid (Madrid);Ortopedias;;
EO00125;Centro Ortopédico 41 S.L.;Calle Hermanos García Noblejas, Nº 45  28037, Madrid (Madrid);Ortopedias;;
EO00126;Milagros Chana Concasa;Calle Juan Ramón Jiménez, Nº 12  28036, Madrid (Madrid);Ortopedias;;
EO00127;Clínica Ortopédica Izquierdo;Plaza Mariana Pineda, Nº 3  28038, Madrid (Madrid);Ortopedias;;
EO00128;Ortopedia Salcedo, S.L.;Paseo Marqués De Zafra, Nº 15  28028, Madrid (Madrid);Ortopedias;;
EO00129;Diefor S.L.;Calle Hospital , Nº 21  28850, Torrejón De Ardoz (Madrid);Ortopedias;;
EO00130;Lenvifar S.L.;Calle Príncipe De Vergara, Nº 2, Piso/Puerta esquina C/ Alca  28001, Madrid (Madrid);Ortopedias;;
EO00132;Industria Ortopédica Otto Bock S.A.;Calle Majada, Nº 1  28760, Tres Cantos (Madrid);Ortopedias;;
EO00133;Gabinete Ortopédico Hernius S.L.;Calle Montera, Nº 32  28013, Madrid (Madrid);Ortopedias;;
EO00134;Angel De La Macorra Noguera;Calle Marcelo Usera , Nº 79  28026, Madrid (Madrid);Ortopedias;;
EO00135;Madridorto S.L.;Calle Clara Del Rey, Nº 36  28002, Madrid (Madrid);Ortopedias;;
EO00136;Municio Ollero;Calle De Manuel Maroto, Nº 2  28053, Madrid (Madrid);Ortopedias;;
EO00137;Establecimientos Ortopédicos Prim, S.A.;Avenida De Buenos Aires, Nº 2  28038, Madrid (Madrid);Ortopedias;;
EO00138;Orto-Canton S.L.;Avenida Monforte De Lemos , Nº 1  28029, Madrid (Madrid);Ortopedias;;
EO00139;Ortocentro Majadahonda, C.B.;Calle San Andrés, Nº 1  28220, Majadahonda (Madrid);Ortopedias;;
EO00140;Ortocentro Majadahonda;Calle Santa Catalina, Nº 27  28220, Majadahonda (Madrid);Ortopedias;;
EO00142;Perez Prim (Ortonorte S.L.);Calle De Antoniorrobles, Nº 4  28034, Madrid (Madrid);Ortopedias;;
EO00143;Salvador Muñoz Gonzalez;Avenida Orellana, Nº 2, Piso/Puerta A  28911, Leganés (Madrid);Ortopedias;;
EO00144;Ortopedia Aguilera;Calle De Gutierre De Cetina, Nº 50  28017, Madrid (Madrid);Ortopedias;;
EO00145;Ortopedia Alcántara, S.L.;Calle De Narciso Serra, Nº 8, Piso/Puerta Local B  28007, Madrid (Madrid);Ortopedias;;
EO00146;Ortopedia Alcobendas, S.L.;Calle Pablo Picasso, Nº 52  28100, Alcobendas (Madrid);Ortopedias;;
EO00147;Gabinete De Ortopedia Alcalá;Calle De Hermosilla, Nº 114  28009, Madrid (Madrid);Ortopedias;;
EO00148;Ortopedia Alonso;Calle Fuencarral, Nº 98  28004, Madrid (Madrid);Ortopedias;;
EO00149;Establecimientos Ortopédicos Prim,S.A.U.;Calle De Ponzano, Nº 57  28003, Madrid (Madrid);Ortopedias;;
EO00150;Ortopedia Argüelles S.L.;Calle Platerías, Nº 3  28016, Madrid (Madrid);Ortopedias;;
EO00151;Ortopedia Bal S.A.;Calle Río Duero, Nº 17  28935, Móstoles (Madrid);Ortopedias;;
EO00152;Ortopedia Barbero;Paseo De Extremadura, Nº 158  28011, Madrid (Madrid);Ortopedias;;
EO00154;Ortopedia Delgado;Calle Juan De La Cierva, Nº 18, Piso/Puerta Portal 6 local   28500, Arganda Del Rey (Madrid);Ortopedias;;
EO00155;Ortopedia Es-Vital;Calle Real, Nº 61, Piso/Puerta Centro comercia  28400, Collado Villalba (Madrid);Ortopedias;;
EO00156;Ortopedia Fuenlabrada;Paseo De San Antonio, Nº 1  28945, Fuenlabrada (Madrid);Ortopedias;;
EO00157;Ortopedia Geminis;Calle Raimundo Fernández Villaverde, Nº 26  28003, Madrid (Madrid);Ortopedias;;
EO00158;Ortopedia Getafe;Calle Madrid, Nº 109  28902, Getafe (Madrid);Ortopedias;;
EO00159;Ortopedia Horta;Calle Menorca, Nº 44  28009, Madrid (Madrid);Ortopedias;;
EO00160;Ortopedia Igmar;Calle Sagunto, Nº 20  28223, Pozuelo De Alarcón (Madrid);Ortopedias;;
EO00161;Ortopedia José Luis Y José Luis;Calle De Ardemáns, Nº 35  28028, Madrid (Madrid);Ortopedias;;
EO00162;Ortopedia José Luis Pascasio;Calle Doctor Cirajas, Nº 10  28017, Madrid (Madrid);Ortopedias;;
EO00163;Ortopedia Juan Bravo;Calle De Juan Bravo, Nº 67  28006, Madrid (Madrid);Ortopedias;;
EO00164;Ortopedia Linor;Calle Pinzón, Nº 21  28025, Madrid (Madrid);Ortopedias;;
EO00165;Ortopedia Miguel Gutierrez S.L.;Calle De Téllez, Nº 25  28007, Madrid (Madrid);Ortopedias;;
EO00166;Ortopedia Parla;Calle Río Sil, Nº 4  28981, Parla (Madrid);Ortopedias;;
EO00167;Ortopedia Pérez Sedeño S.L.;Calle Bravo Murillo, Nº 310  28020, Madrid (Madrid);Ortopedias;;
EO00169;Ortopedia Plaza;Calle Toledo, Nº 60  28005, Madrid (Madrid);Ortopedias;;
EO00171;Ortopedia San Martín;Calle Zaragoza, Nº 14  28934, Móstoles (Madrid);Ortopedias;;
EO00172;Ortopedia Santos Romero;Calle Madrid, Nº 12  28850, Torrejón De Ardoz (Madrid);Ortopedias;;
EO00173;Ortopedia San José S.L.;Calle San José, Nº 16  28921, Alcorcón (Madrid);Ortopedias;;
EO00174;Ortopedia Técnica Complutense;Calle Vía Complutense, Nº 89  28805, Alcalá De Henares (Madrid);Ortopedias;;
EO00175;Orpavalles, S.L.;Calle Pico Mampodre, Nº 3  28031, Madrid (Madrid);Ortopedias;;
EO00176;Ignacio Peña Borja;Avenida Barranquilla, Nº 7  28033, Madrid (Madrid);Ortopedias;;
EO00177;Ausin Marrodan Serafin Y Ausin Arias-Camison Eva C.B.;Calle Del Corregidor Señor De La Elipa, Nº 18  28030, Madrid (Madrid);Ortopedias;;
EO00179;Mª Rosa Valverde Bartolomé;Calle Adrada De Haza, Nº 6  28038, Madrid (Madrid);Ortopedias;;
EO00180;Farmacia Víctor Sánchez González;Calle Abastos, Nº 187  28300, Aranjuez (Madrid);Ortopedias;;
EO00182;Alvarellos Del Barrio C.B.;Calle De Las Canteras, Nº 2  28821, Coslada (Madrid);Ortopedias;;
EO00183;Farmacia Irache Alonso Jaén;Calle De Pedro Teixeira, Nº 9  28020, Madrid (Madrid);Ortopedias;;
EO00184;Eduardo Y José Ignacio Martín C.B.;Plaza De Los Pinazo, Nº 1, Piso/Puerta local 164  28021, Madrid (Madrid);Ortopedias;;
EO00185;Farmacia Ortopedia Nieves Mijimolle;Calle Río Manzanares, Nº 15  28913, Leganés (Madrid);Ortopedias;;
EO00186;Ortoaccesible, S.L.;Calle Verdaguer Y García, Nº 47  28027, Madrid (Madrid);Ortopedias;;
EO00187;José Manuel Matheo Luaces;Calle Hernán Cortés, Nº 2  28911, Leganés (Madrid);Ortopedias;;
EO00188;Angel Jose Caballero Aguado;Calle De La Constitución, Nº 42  28100, Alcobendas (Madrid);Ortopedias;;
EO00189;Farmacia López Sánchez-Pastor López, C.B.;Calle De Alfonso Rodríguez Castelao, Nº s/n , Madrid (Madrid);Ortopedias;;
EO00191;Ana Isabel De Miguel Lapeña;Calle De Cebreros, Nº 92  28011, Madrid (Madrid);Ortopedias;;
EO00192;Carmen Montero Ramos;Avenida Dos De Mayo, Nº 37  28934, Móstoles (Madrid);Ortopedias;;
EO00194;Alejandro Eguilleor Villena;Calle Santa Virgilia, Nº 20  28033, Madrid (Madrid);Ortopedias;;
EO00195;Antonio De Marcos Alcaide;Calle Del Perpetuo Socorro, Nº 7  28701, San Sebastián De Los Reyes (Madrid);Ortopedias;;
EO00196;Farmacia Elena Madruga Carpintero;Calle Santiago, Nº 19  28801, Alcalá De Henares (Madrid);Ortopedias;;
EO00197;Farmacia Antonio Mingo Garrote;Calle San José, Nº 7  28943, Fuenlabrada (Madrid);Ortopedias;;
EO00198;Rafael Rivero González;Calle Del Doctor Marañón, Nº 2  28821, Madrid (Madrid);Ortopedias;;
EO00201;Farmacia Ortopedia Pedroches;Calle Los Pedroches, Nº 7  28915, Leganés (Madrid);Ortopedias;;
EO00202;Adela Riera Rico;Avenida De Guadalajara, Nº 77  28032, Madrid (Madrid);Ortopedias;;
EO00203;Ortopedia Las Alpujarras;Calle Las Alpujarras, Nº 37  28915, Leganés (Madrid);Ortopedias;;
EO00204;Iñigo Collantes Bellido;Avenida Del Alcalde José Aranda, Nº 55  28924, Alcorcón (Madrid);Ortopedias;;
EO00205;Mª Jesús De La Viuda Villanueva;Calle De Puentelarra, Nº 5  28031, Madrid (Madrid);Ortopedias;;
EO00206;García Aguado Mundo Salud, S.L.;Paseo De La Chopera, Nº 71  28100, Alcobendas (Madrid);Ortopedias;;
EO00208;Farmacia Paloma Sánchez Alarcón;Calle Nazaret, Nº 13  28941, Fuenlabrada (Madrid);Ortopedias;;
EO00209;Mª Teresa Jimenez Guijarro;Calle Montero, Nº 32  28934, Móstoles (Madrid);Ortopedias;;
EO00210;Francisco Valverde Montero;Calle Río Manzanares, Nº 1  28934, Móstoles (Madrid);Ortopedias;;
EO00211;Farmacia Carmen Garcia Ventosa;Calle Galicia, Nº 22  28942, Fuenlabrada (Madrid);Ortopedias;;
EO00212;Farmacia Celia Fernández De Landa Lastra;Calle San Roque, Nº 37  28220, Majadahonda (Madrid);Ortopedias;;
EO00213;Carmen Laso López;Avenida De Europa, Nº 22  28224, Pozuelo De Alarcón (Madrid);Ortopedias;;
EO00214;Farmacia-Ortopedia Lopex-Laso C.B.;Calle De Antonio López, Nº 199  28026, Madrid (Madrid);Ortopedias;;
EO00215;Prado Ayala Muñoz;Avenida España, Nº 31  28221, Majadahonda (Madrid);Ortopedias;;
EO00216;Farmacia Patricia Vega Viejo;Calle Señora Sergia, Nº 48  28250, Torrelodones (Madrid);Ortopedias;;
EO00217;Durán-Libiano C.B.;Calle La Concordia, Nº 9  28950, Moraleja De Enmedio (Madrid);Ortopedias;;
EO00218;María Luisa Alonso Ortega;Calle Santa Úrsula, Nº 7  28801, Alcalá De Henares (Madrid);Ortopedias;;
EO00220;Hilario Martín Navarro;Calle Porto Cristo, Nº 9, Piso/Puerta Parq. de Lisboa  28924, Alcorcón (Madrid);Ortopedias;;
EO00221;Clara Del Castillo Rodríguez;Calle De Antonio López, Nº 13  28019, Madrid (Madrid);Ortopedias;;
EO00222;Farmacia Maria Teresa Álvarez Atienza;Calle De Guzmán El Bueno, Nº 34  28015, Madrid (Madrid);Ortopedias;;
EO00223;Farmacia  Juan Manuel De La Peña Sánchez;Avenida De Logroño, Nº 122  28042, Madrid (Madrid);Ortopedias;;
EO00224;Farmacia Mª Carmen Soto Casteleiro;Calle De Santa Hortensia, Nº 20  28002, Madrid (Madrid);Ortopedias;;
EO00225;Farmacia Diego Carretero Segovia;Calle Dinamarca, Nº 8  28942, Fuenlabrada (Madrid);Ortopedias;;
EO00227;Farmacia Dolores Pérez Dela Ossa De Bascarán;Calle Maqueda, Nº 136  28024, Madrid (Madrid);Ortopedias;;
EO00229;Farmacia Maria Pilar Martinez Honduvilla;Calle Toledo, Nº 105  28012, Madrid (Madrid);Ortopedias;;
EO00230;Farmacia Mª José Martinez Honduvilla;Calle Miguel Servet, Nº 1  28012, Madrid (Madrid);Ortopedias;;
EO00231;Farmacia Carlos José Martínez Honduvilla;Calle Mesón De Paredes, Nº 8  28012, Madrid (Madrid);Ortopedias;;
EO00232;Farmacia Ángeles Torres;Calle De Sogueros, Nº 1  28770, Colmenar Viejo (Madrid);Ortopedias;;
EO00233;Farmacia S. Chocron Isso;Calle Azucenas, Nº 24  28039, Madrid (Madrid);Ortopedias;;
EO00236;Farmacia Mª Pilar Fernández Arroyo;Calle Del Atazar, Nº 2  28770, Colmenar Viejo (Madrid);Ortopedias;;
EO00237;Farmacia Ortopedia Antonio Santos Casitas;Calle Madrid, Nº 14  28850, Torrejón De Ardoz (Madrid);Ortopedias;;
EO00238;Farmacia Paloma Rojo Izquierdo;Calle Constitución , Nº 61  28944, Fuenlabrada (Madrid);Ortopedias;;
EO00240;Farmacia Elena Álvarez Ahedo;Calle Guadalupe, Nº 3  28931, Móstoles (Madrid);Ortopedias;;
EO00241;Farmacia Juan Acosta Urrea;Calle Jorge Juan, Nº 131  28009, Madrid (Madrid);Ortopedias;;
EO00242;Farmacia Sagrario Martínez Merino;Calle San Antón, Nº 70  28982, Parla (Madrid);Ortopedias;;
EO00243;Farmacia Serrano Sánchez-López Serrano Cb;Calle Del Marqués De La Valdavia, Nº 65  28100, Alcobendas (Madrid);Ortopedias;;
EO00244;Farmacia Mª Luisa Gómez Espáriz;Calle Camarena, Nº 200  28047, Madrid (Madrid);Ortopedias;;
EO00245;Farmacia Alicia Nieves Villar;Calle De Lucano, Nº 32  28022, Madrid (Madrid);Ortopedias;;
EO00247;Farmacia Maria Rosa Collado Serradilla;Avenida Betanzos , Nº 8  28029, Madrid (Madrid);Ortopedias;;
EO00248;Farmacia-Ortopedia Daniel Molpeceres;Avenida Reyes Católicos, Nº 21  28802, Alcalá De Henares (Madrid);Ortopedias;;
EO00250;Farmacia Antonio Navarro Yañez;Calle De Blasco De Garay, Nº 5  28015, Madrid (Madrid);Ortopedias;;
EO00251;Farmacia Isabel Tenorio Labat;Calle Hermanos García Noblejas , Nº 194  28037, Madrid (Madrid);Ortopedias;;
EO00252;Farmacia Eulalia Gutierrez López;Calle Marcelo Usera, Nº 114  28026, Madrid (Madrid);Ortopedias;;
EO00253;Farmacia Cristina Del Campo Campos;Calle Zurbarán , Nº 6  28770, Colmenar Viejo (Madrid);Ortopedias;;
EO00255;Oficina De Farmacia M-1813-F;Calle Del Marqués De La Valdavia, Nº 41  28100, Alcobendas (Madrid);Ortopedias;;
EO00256;Farmacia Mª Isabel Gómez De Agüero;Pasaje De Colón, Nº 2  28341, Valdemoro (Madrid);Ortopedias;;
EO00257;Farmacia Nuria Ruíz Peno;Calle Carlos Picabea, Nº 2  28250, Torrelodones (Madrid);Ortopedias;;
EO00261;Gloria María Masso De Luque;Calle Cuevas De Altamira, Nº 27, Piso/Puerta 29 (con acceso   28054, Madrid (Madrid);Ortopedias;;
EO00262;Farmacia Irene Muñoz Rubio;Calle Fermín Caballero, Nº 8  28034, Madrid (Madrid);Ortopedias;;
EO00263;Oficina De Farmacia Ana Rodríguez-Acosta Gómez;Calle Segovia, Nº 34  28804, Alcalá De Henares (Madrid);Ortopedias;;
EO00264;Ortounión, S.L.;Travesia De Juan Francisco, Nº 4  28025, Madrid (Madrid);Ortopedias;;
EO00265;Ortopedía Técnica Tarancón, S.L.;Avenida República Argentina, Nº 4  28500, Arganda Del Rey (Madrid);Ortopedias;;
EO00266;Disponible;Avenida República Argentina, Nº 4  28500, Arganda Del Rey (Madrid);Ortopedias;;
EO00267;Farmacia Gordillo-Titos L.B;Calle Cebreros, Nº 92  28011, Madrid (Madrid);Ortopedias;;
EO00268;Ramfarmacia S.L. Unipersonal;Calle De Luis Vives, Nº 14  28002, Madrid (Madrid);Ortopedias;;
EO00269;Florencia Del Pozo Domínguez;Calle Madrid, Nº 44  28970, Humanes De Madrid (Madrid);Ortopedias;;
EO00270;Farmacia Leticia Vega Castillo;Calle De Lorenzo Niño, Nº 10  28280, Escorial, El (Madrid);Ortopedias;;
EO00271;Farmacia Lapradel;Avenida De Madrid, Nº 18  28750, San Agustín Del Guadalix (Madrid);Ortopedias;;
EO00272;Organización De Servicios Ortopédicos Totales, S.L.;Calle De Vaquerías, Nº 10  28007, Madrid (Madrid);Ortopedias;;
EO00273;María Centenera Crespo;Paseo Valdelasfuentes, Nº 11  28100, Alcobendas (Madrid);Ortopedias;;
EO00274;Ortopedias Landolfy, S.L.;Calle Andres Mellado, Nº 82  28015, Madrid (Madrid);Ortopedias;;
EO00275;Farmacia Ortopedia Pilar Santos Romero;Calle Arturo Soria, Nº 164  28043, Madrid (Madrid);Ortopedias;;
EO00276;Franhur, Salud Integral Multidisciplinar;Calle Cavanilles, Nº 33  28007, Madrid (Madrid);Ortopedias;;
EO00277;Organización De Servicios Ortopédicos Totales, S.L.;Calle Del Doctor Esquerdo, Nº 87, Piso/Puerta local izquierdo  28007, Madrid (Madrid);Ortopedias;;
EO00278;Farmacia José Ignacio Rayón Aguilar;Calle Méjico, Nº 29  28823, Coslada (Madrid);Ortopedias;;
EO00279;Ortopedia Salcedo, S.L.;Calle Los Ángeles, Nº 2  28250, Torrelodones (Madrid);Ortopedias;;
EO00280;Emiliano Espinosa López-Lucendo;Calle Del León, Nº 7, Piso/Puerta Bajo  28014, Madrid (Madrid);Ortopedias;;
